INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
HISTORY    (19980911C)
           (19990601A) Data units corrected.
120.        3.9000E+00 2.0000E-01 8.6930E-04 6.7430E-06
120.        4.1000E+00 2.0000E-01 8.4620E-04 6.7000E-06
120.        4.3000E+00 2.0000E-01 7.9850E-04 6.6760E-06
120.        4.5000E+00 2.0000E-01 7.6420E-04 6.3850E-06
120.        4.7000E+00 2.0000E-01 7.3760E-04 6.3360E-06
120.        4.9000E+00 2.0000E-01 7.0540E-04 6.1930E-06
120.        5.2500E+00 5.0000E-01 6.1680E-04 3.6820E-06
120.        5.7500E+00 5.0000E-01 5.7430E-04 3.6430E-06
120.        6.2500E+00 5.0000E-01 4.9640E-04 3.2860E-06
120.        6.7500E+00 5.0000E-01 4.4350E-04 3.0970E-06
120.        7.2500E+00 5.0000E-01 4.0280E-04 2.9570E-06
120.        7.7500E+00 5.0000E-01 3.8020E-04 2.8310E-06
120.        8.2500E+00 5.0000E-01 3.4320E-04 2.7050E-06
120.        8.7500E+00 5.0000E-01 3.1730E-04 2.5510E-06
120.        9.2500E+00 5.0000E-01 3.1400E-04 2.5010E-06
120.        9.7500E+00 5.0000E-01 2.8760E-04 2.4520E-06
120.        1.0750E+01 1.0000E+00 2.5470E-04 1.6160E-06
120.        1.1500E+01 1.0000E+00 2.3230E-04 1.5410E-06
120.        1.2500E+01 1.0000E+00 2.0850E-04 1.4870E-06
120.        1.3500E+01 1.0000E+00 1.8880E-04 1.4400E-06
120.        1.4500E+01 1.0000E+00 1.7530E-04 1.4040E-06
120.        1.5500E+01 1.0000E+00 1.5990E-04 1.3700E-06
120.        1.6500E+01 1.0000E+00 1.5070E-04 1.3550E-06
120.        1.7500E+01 1.0000E+00 1.3870E-04 1.3140E-06
120.        1.8500E+01 1.0000E+00 1.3220E-04 1.2940E-06
120.        1.9500E+01 1.0000E+00 1.1640E-04 1.2500E-06
120.        2.1000E+01 2.0000E+00 1.0740E-04 1.2870E-06
120.        2.3000E+01 2.0000E+00 9.3090E-05 1.1870E-06
